id,developer
1000002,Josef Kates
1000004,Christopher Strachey
1000005,"Alexander Shafto ""Sandy"" Douglas"
1000005,University of Warwick
1000007,William Higinbotham
1000009,Steve Russel
1000009,"Computer Recreations, Inc."
1000010,Mabel Addis
1000011,Namco
1000011,Sega
1000012,Creative Computing Software
1000015,Magnavox
1000016,Jim Storer
1000020,Chris Gaylo
1000021,Scientific American
1000021,John Horton Conway
1000022,Mike Mayfield
1000023,"Computer Recreations, Inc."
1000024,Atari
1000024,Nutting Associates
1000025,MECC
1000027,Gremlin Industries
1000028,Magnavox
1000029,Magnavox
1000030,Magnavox
1000031,Magnavox
1000032,Magnavox
1000033,Magnavox
1000034,Magnavox
1000035,Magnavox
1000036,Magnavox
1000037,Magnavox
1000038,Magnavox
1000039,Magnavox
1000040,Magnavox
1000041,Namco
1000041,Atari
1000042,"Sega Enterprises, Ltd."
1000043,Magnavox
1000044,Magnavox
1000045,Magnavox
1000046,Magnavox
1000047,Peter Langston
1000048,Magnavox
1000049,Magnavox
1000050,Magnavox
1000051,Magnavox
1000052,Digital Equipment Corporation
1000052,Jack Burness
1000053,Allied Leisure Industries
1000054,RamTeK
1000056,Gregory Yob
1000056,Texas Instruments Incorporated
1000058,Atari
1000058,Midway Manufacturing
1000059,Allied Leisure Industries
1000060,Atari
1000060,Taito
1000061,Namco
1000061,Atari
1000062,"Sega Enterprises, Ltd."
1000063,Midway Manufacturing
1000064,Atari
1000066,Atari
1000067,Allied Leisure Industries
1000068,Taito
1000069,RamTeK
1000070,Atari
1000070,Taito
1000071,Taito
1000072,"Sega Enterprises, Ltd."
1000073,Atari
1000073,Midway Manufacturing
1000074,RamTeK
1000074,Midway Manufacturing
1000075,Magnavox
1000076,Magnavox
1000078,MECC
1000079,Magnavox
1000080,Magnavox
1000081,Magnavox
1000082,Nintendo
1000083,Magnavox
1000084,"Sega Enterprises, Ltd."
1000085,People's Computer Company
1000086,Atari
1000087,Atari
1000088,Atari
1000088,Kee Games
1000090,Kee Games
1000090,Atari
1000091,Atari
1000092,Atari
1000093,Taito
1000093,Midway Manufacturing
1000094,Atari
1000095,RamTeK
1000096,Atari
1000097,Atari
1000099,Atari
1000100,Taito
1000101,Kee Games
1000101,Atari
1000102,Nintendo
1000103,Exidy
1000104,Midway Manufacturing
1000105,(Archive) Atari Inc.
1000106,Taito
1000107,Midway Manufacturing
1000107,Chicago Coin
1000108,"Sega Enterprises, Ltd."
1000109,Midway Manufacturing
1000109,Chicago Coin
1000110,Midway Manufacturing
1000111,"Sega Enterprises, Ltd."
1000112,(Archive) Atari Inc.
1000113,Nintendo
1000114,Atari
1000114,Kee Games
1000115,Electra Games
1000116,Atari
1000116,Kee Games
1000117,Atari
1000118,Allied Leisure Industries
1000119,Electra Games
1000120,Chicago Coin
1000121,Meadows Games
1000122,Atari
1000123,Taito
1000124,Atari
1000125,Reginald Rutherford
1000126,Atari
1000126,Nakamura Production
1000127,Namco
1000127,Atari
1000128,Atari
1000129,Taito
1000129,Midway
1000130,Project Support Engineering
1000131,US Billiards
1000132,Fun Games
1000133,Atari
1000133,"Atari, Inc."
1000134,Taito Corporation
1000134,Midway Manufacturing
1000135,Taito Corporation
1000135,Electra Games
1000136,"Sega Enterprises, Ltd."
1000137,Midway Manufacturing
1000138,Exidy
1000139,Ray Wood
1000140,Eric Hagstrom
1000141,Nintendo
1000142,Exidy
1000142,Chicago Coin
1000143,Allied Leisure Industries
1000144,Meadows Games
1000145,Atari
1000146,"Sega Enterprises, Ltd."
1000147,Atari
1000148,Taito
1000150,Dave Nutting Associates
1000150,Midway Manufacturing
1000151,Will Crowther
1000151,Digital Equipment Corporation
1000152,Kevet Duncombe
1000153,Taito
1000154,Exidy
1000155,Atari
1000155,Kee Games
1000156,Fun Games
1000157,Namco
1000157,Atari
1000158,Meadows Games
1000159,Atari
1000160,Micro Games
1000161,Atari
1000162,Taito
1000162,Dave Nutting Associates
1000163,Taito
1000164,Meadows Games
1000165,"Sega Enterprises, Ltd."
1000166,"Sega Enterprises, Ltd."
1000167,Atari
1000168,Exidy
1000169,Taito
1000170,Kee Games
1000170,Atari
1000171,Atari
1000171,Sears
1000172,Electra Games
1000173,"Sega Enterprises, Ltd."
1000174,Meadows Games
1000175,Gremlin Industries
1000175,Taito
1000176,Midway Manufacturing
1000176,Dave Nutting Associates
1000177,Midway Manufacturing
1000177,Dave Nutting Associates
1000178,US Billiards
1000179,Namco
1000179,Kee Games
1000180,Taito
1000180,Model Racing
1000181,General Instrument Microelectronic
1000182,Fairchild Semiconductor
1000183,Atari
1000184,Innovative Coin Corporation
1000184,Micro Amusements Inc.
1000185,Taito
1000185,Model Racing
1000186,Project Support Engineering
1000187,General Instrument Microelectronic
1000188,Fairchild Semiconductor
1000189,General Instrument Microelectronic
1000190,General Instrument Microelectronic
1000191,General Instrument Microelectronic
1000192,Fairchild Semiconductor
1000193,Atari
1000194,"Sega Enterprises, Ltd."
1000195,Fairchild Semiconductor
1000196,RamTeK
1000197,RamTeK
1000198,Taito
1000199,Atari
1000200,Fairchild Semiconductor
1000201,Fairchild Semiconductor
1000202,Fairchild Semiconductor
1000203,Fairchild Semiconductor
1000204,RamTeK
1000205,"Sega Enterprises, Ltd."
